EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,CLASE
-9,-1,-3,-3,-2,-4,9,1,F
2,2,1,5,2,-3,5,-2,F
-15,-11,-3,-6,-4,0,17,-4,F
16,7,2,-4,-5,-11,-6,4,F
-1,0,0,0,3,7,28,5,F
1,-6,-1,0,-1,-2,-23,-6,F
6,-4,-3,-2,-4,-1,26,4,F
-6,-13,-2,-2,-1,4,21,1,F
28,18,-2,-3,0,3,21,5,F
-1,-14,0,-3,-1,-3,-1,4,F
4,28,5,5,6,-3,-62,-15,F
7,-1,-2,-1,2,6,31,6,F
-5,1,6,-1,-2,4,21,5,F
-2,4,-5,-3,-3,-7,-16,-3,F
3,3,-6,-1,2,1,-3,-4,F
-3,-10,-1,-2,2,7,8,1,F
-8,-9,-2,-2,-3,-10,-71,-5,F
-12,-1,0,-1,-2,6,18,-4,F
-6,-3,0,0,0,-4,-22,12,F
8,16,4,-1,3,9,13,-6,F
-10,-7,-4,-4,-2,0,-2,-2,F
-6,-3,0,0,-5,-8,-35,-14,F
7,1,-3,-3,-1,8,24,5,F
-10,4,-6,-6,-7,-10,-13,0,F
-6,-7,3,4,1,-3,5,-5,F
11,3,2,3,2,3,4,2,F
-15,-11,-2,0,0,0,-6,-1,F
24,6,2,0,0,-2,-17,0,F
-1,1,0,-1,0,-3,2,1,F
-1,2,-2,-1,-3,-3,-35,-1,F
12,-6,-1,1,4,8,68,4,F
-9,3,-1,0,0,-2,-14,0,F
12,6,1,1,3,7,35,5,F
-6,5,0,-2,1,-1,-9,3,F
-1,-12,0,-5,-3,-4,9,-1,F
-3,23,1,2,-2,-2,5,-7,F
-14,-15,-12,-7,-7,0,1,-4,F
2,-2,3,-4,-2,-4,-4,-1,F
1,2,-9,-4,0,-3,-1,0,F
-5,-6,-2,-4,-2,-6,12,-6,F
1,6,1,-2,-2,-7,-47,-1,F
-16,-13,-4,-2,-2,4,25,0,F
23,3,1,0,-2,-3,-9,0,F
-4,-3,-1,1,1,4,-1,2,F
-5,-5,0,-1,-4,-7,-31,-3,F
11,4,-1,0,0,0,-5,0,F
-9,-1,2,1,3,6,-3,3,F
-1,-1,0,2,1,-1,38,-3,F
-1,-7,0,-3,-5,-5,-11,-9,F
20,12,-1,0,1,2,-18,0,F
-2,-24,-1,3,-1,-2,16,-7,F
9,46,2,4,3,9,-2,15,F
-10,-7,2,-1,-2,1,-2,-15,F
1,-7,-1,-1,-1,-5,-5,5,F
-2,3,-2,-2,-4,-10,-40,-13,F
-12,-15,3,0,0,10,32,2,F
-9,1,-7,2,4,12,37,12,F
-2,0,-3,-3,-1,-11,-39,-8,F
0,-10,1,-4,-4,-4,-6,3,F
-22,-20,-2,-3,-1,-5,-15,-8,F
21,20,2,0,1,1,19,4,F
-3,-6,-3,0,2,5,16,3,F
-1,4,0,0,-1,-5,8,3,F
2,-9,-3,-4,-5,-6,-32,-6,F
-11,-2,-1,0,1,3,-3,2,F
-5,0,-1,-1,-2,-6,24,-8,F
3,9,0,1,1,7,34,6,F
-6,-7,-4,-4,-2,-7,-26,-8,F
-3,-4,2,1,1,-2,12,3,F
2,0,1,2,2,15,32,8,F
-6,1,-2,2,-1,-6,-25,-5,F
-8,-30,-5,1,-1,-4,-33,-6,F
17,25,2,3,-1,0,9,2,F
14,7,2,-1,-3,-2,-1,3,F
0,12,1,-2,-2,-5,10,0,F
-4,-20,-6,-3,-5,-2,11,2,F
-6,-15,-4,-6,-4,-4,-10,10,F
-11,-6,-3,-1,-2,-4,-16,-12,F
6,7,4,0,0,0,5,-2,F
8,7,1,-2,3,12,19,3,F
-23,-17,-5,0,-3,-12,-46,-10,F
10,4,-2,1,-2,-2,30,0,F
-7,-20,0,1,0,-7,-13,0,G
1,15,-4,-4,-4,-1,1,3,G
11,12,2,-2,-4,-9,-5,7,G
-21,-13,-8,-2,-1,3,7,-5,G
-16,3,3,0,-3,-1,-1,-11,G
35,-4,1,2,6,2,-4,17,G
0,-6,0,-1,-9,-18,-12,2,G
2,1,-5,-6,-8,-8,-18,-9,G
